iter	MultiClass
350	0.2201332455
351	0.2197328551
352	0.2193265073
353	0.2189207202
354	0.2185574128
355	0.2182614595
356	0.2178104931
357	0.2175946511
358	0.217146736
359	0.2167314955
360	0.2164477009
361	0.2160532143
362	0.2155595716
363	0.2151300609
364	0.2148921801
365	0.21461853
366	0.2142394255
367	0.2138960436
368	0.2134099789
369	0.2130464382
370	0.2126736466
371	0.2122795924
372	0.2118701662
373	0.2114658993
374	0.2110051977
375	0.2105353747
376	0.210322348
377	0.2099543269
378	0.2095842858
379	0.2091414294
380	0.2088390034
381	0.2083712195
382	0.2081416225
383	0.2078962082
384	0.2076154843
385	0.2072037549
386	0.2069110076
387	0.2063628545
388	0.2060251789
389	0.2055554788
390	0.20518297
391	0.2046987078
392	0.204391723
393	0.204068388
394	0.2036291563
395	0.2032000331
396	0.2027490514
397	0.2024937315
398	0.2019405277
399	0.2015878682
400	0.2011608134
401	0.2008697775
402	0.2005067143
403	0.2000688885
404	0.1997118736
405	0.1994000884
406	0.1991086441
407	0.1989254885
408	0.1987373144
409	0.198336072
410	0.1979191383
411	0.197564319
412	0.1972849735
413	0.1971114373
414	0.1968228438
415	0.1963666302
416	0.1959914178
417	0.1956040508
418	0.1952695304
419	0.1947509839
420	0.1942770764
421	0.1939239167
422	0.1934855789
423	0.1930642816
424	0.1927706072
425	0.1924885808
426	0.1920987513
427	0.1917314427
428	0.1914180411
429	0.191166845
430	0.1909899043
431	0.1906173711
432	0.1902314422
433	0.1899481797
434	0.1896410614
435	0.1891802161
436	0.1889234174
437	0.1886882927
438	0.1883626918
439	0.1880172111
440	0.1876745734
441	0.187202439
442	0.1868972723
443	0.1866100723
444	0.1862532396
445	0.18582991
446	0.1854894435
447	0.185237913
448	0.1849442323
449	0.1846871712
450	0.1842966729
451	0.1838826637
452	0.1835886301
453	0.1832641656
454	0.1830141141
455	0.1826992999
456	0.1824468111
457	0.182156568
458	0.1817493543
459	0.1815124953
460	0.1812741886
461	0.1809892894
462	0.1807270757
463	0.1803865649
464	0.180067138
465	0.1797521605
466	0.1795656115
467	0.1793795725
468	0.1791497392
